Product,Shop,Category,Brand,Cost Price,Sales Price
HONOR- HONOR 10 Lite,Marvell Tiles,Mobile,Mobile,0,0
HONOR- HONOR 8X,Marvell Tiles,Mobile,Mobile,0,0
LAVA- A1,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Prime X,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Prime Z,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Prime ,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Spark i8,Marvell Tiles,Mobile,Mobile,0,0
LAVA- One,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Pearl FM,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Gem,Marvell Tiles,Mobile,Mobile,0,0
LAVA- KKT 34 Power,Marvell Tiles,Mobile,Mobile,0,0
LAVA- KKT 40 Power+,Marvell Tiles,Mobile,Mobile,0,0
LAVA- CAPTAIN K2,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Z50,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Z60s,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Z61,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Z61 2GB,Marvell Tiles,Mobile,Mobile,0,0
LAVA- Z92,Marvell Tiles,Mobile,Mobile,0,0
LAVA- A97 IPS,Marvell Tiles,Mobile,Mobile,0,0
MOBIISTAR- C1,Marvell Tiles,Mobile,Mobile,0,0
MOBIISTAR- C1 LITE,Marvell Tiles,Mobile,Mobile,0,0
MOBIISTAR- C1 SHINE,Marvell Tiles,Mobile,Mobile,0,0
MOBIISTAR- C2,Marvell Tiles,Mobile,Mobile,0,0
MOBIISTAR- X1 NOTCH,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N105 Single,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N105 Dual,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N106,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N130,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N150,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N3310,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N8110 4G,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N1,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N2,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N2.1,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N3.1 Plus,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N5.1 Plus 4/64,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N5.1 Plus 6/64,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N6,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N6.1 4/64,Marvell Tiles,Mobile,Mobile,0,0
NOKIA- N6.1 3/32,Marvell Tiles,Mobile,Mobile,0,0
OPPO- A3s 2/16,Marvell Tiles,Mobile,Mobile,0,0
OPPO- A3s 3/32,Marvell Tiles,Mobile,Mobile,0,0
OPPO- A7 3/64,Marvell Tiles,Mobile,Mobile,0,0
OPPO- F11 PRO,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Guru 1200,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Guru FM Plus,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Guru Music 2,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Metro 313,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Metro 350,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J2 CORE ,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J2 (2018),Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J4,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J4+,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J6+,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J6 3/32,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J6 4/64,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- J8,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A7 4/64,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A7 6/128,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A9 6/128,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A9 8/128,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A30,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A50 4/64,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- A50 6/64,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- S10+ 8/128,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- S10 8/128,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- S10e,Marvell Tiles,Mobile,Mobile,0,0
SAMSUNG- Tab 7.0,Marvell Tiles,Mobile,Mobile,0,0
VIVO- Y71i,Marvell Tiles,Mobile,Mobile,0,0
VIVO- Y81i,Marvell Tiles,Mobile,Mobile,0,0
VIVO- Y83 PRO,Marvell Tiles,Mobile,Mobile,0,0
VIVO- Y91,Marvell Tiles,Mobile,Mobile,0,0
